subtype_code,name,discipline_code,discipline_name,is_active,guidance_required_explicit,guidance_required_effective,has_guidance,has_overview,has_indicators_of_risk,has_common_failures,has_mitigation_guidance,has_standards_references,has_psa_notes,overview_length,indicators_of_risk_count,common_failures_count,mitigation_guidance_count,standards_references_count,psa_notes_length,guidance_complete,guidance_issues
ACS_BIOMETRIC_ACCESS,"Biometric Access",ACS,"Access Control Systems",true,false,false,true,true,true,true,true,true,true,381,5,5,6,3,292,true,""
ACS_CREDENTIAL_BADGE_SYSTEMS,"Credential / Badge Systems",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,176,0,0,0,0,141,false,""
ACS_DOOR_MONITORING,"Door Monitoring",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,233,0,0,0,0,130,false,""
ACS_DOOR_READERS,"Door Readers",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,261,0,0,0,0,147,false,""
ACS_ELECTRIC_STRIKES_MAG_LOCKS,"Electric Strikes / Mag Locks",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,257,0,0,0,0,138,false,""
ACS_ELECTRONIC_ACCESS_CONTROL,"Electronic Access Control",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,218,0,0,0,0,286,false,""
ACS_KEYPADS_PIN_ENTRY,"Keypads / PIN Entry",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,239,0,0,0,0,126,false,""
ACS_LOCKING_HARDWARE,"Locking Hardware",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,136,0,0,0,0,109,false,""
ACS_SECURED_VESTIBULES,"Secured Vestibules",ACS,"Access Control Systems",true,false,false,true,true,false,false,false,false,true,229,0,0,0,0,251,false,""
ACS_VISITOR_MANAGEMENT_SYSTEMS,"Visitor Management Systems",ACS,"Access Control Systems",true,true,true,true,true,true,true,true,true,true,153,2,2,2,2,124,true,""
COM_BACKUP_COMMUNICATIONS,"Backup Communications",COM,"Communications",true,false,false,true,true,false,false,false,false,true,198,0,0,0,0,96,false,""
COM_COMMUNICATION_PROTOCOLS,"Communication Protocols",COM,"Communications",true,false,false,true,true,false,false,false,false,true,213,0,0,0,0,150,false,""
COM_INTEROPERABLE_COMMUNICATIONS,"Interoperable Communications",COM,"Communications",true,true,true,true,true,true,true,true,true,true,150,2,2,2,2,127,true,""
COM_PA_SYSTEMS,"PA Systems",COM,"Communications",true,false,false,true,true,false,false,false,false,true,230,0,0,0,0,120,false,""
COM_PAGING_SYSTEMS,"Paging Systems",COM,"Communications",true,false,false,true,true,false,false,false,false,true,217,0,0,0,0,125,false,""
COM_RADIOS_TWO_WAY,"Radios / Two-Way",COM,"Communications",true,false,false,true,true,false,false,false,false,true,179,0,0,0,0,119,false,""
CPTED_DEFENSIBLE_SPACE,"Defensible Space",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,193,0,0,0,0,157,false,""
CPTED_EXTERIOR_LIGHTING,"Exterior Lighting",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,210,0,0,0,0,135,false,""
CPTED_LANDSCAPING_CONTROL,"Landscaping Control",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,184,0,0,0,0,175,false,""
CPTED_NATURAL_SURVEILLANCE,"Natural Surveillance",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,219,0,0,0,0,166,false,""
CPTED_SIGHTLINES,"Sightlines",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,227,0,0,0,0,203,false,""
CPTED_TERRITORIAL_REINFORCEMENT,"Territorial Reinforcement",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,194,0,0,0,0,146,false,""
CPTED_WAYFINDING,"Wayfinding",CPTED,"CPTED",true,false,false,true,true,false,false,false,false,true,260,0,0,0,0,146,false,""
EAP_EMERGENCY_DRILLS,"Emergency Drills",EAP,"Emergency Action Planning",true,false,false,true,true,false,false,false,false,true,215,0,0,0,0,113,false,""
EAP_EMERGENCY_GUIDES_FLIP_CHARTS,"Emergency Guides / Flip Charts",EAP,"Emergency Action Planning",true,false,false,true,true,false,false,false,false,true,212,0,0,0,0,139,false,""
EAP_EVACUATION_PROCEDURES,"Evacuation Procedures",EAP,"Emergency Action Planning",true,true,true,true,true,true,true,true,true,true,148,2,2,2,2,165,true,""
EAP_LOCKDOWN_LOCKOUT_PROCEDURES,"Lockdown / Lockout Procedures",EAP,"Emergency Action Planning",true,true,true,true,true,true,true,true,true,true,137,2,2,2,2,115,true,""
EAP_MUSTER_POINTS_RALLY_AREAS,"Muster Points / Rally Areas",EAP,"Emergency Action Planning",true,false,false,true,true,false,false,false,false,true,242,0,0,0,0,145,false,""
EAP_REUNIFICATION_PROCEDURES,"Reunification Procedures",EAP,"Emergency Action Planning",true,true,true,true,true,true,true,true,true,true,165,2,2,2,2,186,true,""
EAP_SHELTER_IN_PLACE,"Shelter-in-Place",EAP,"Emergency Action Planning",true,false,false,true,true,false,false,false,false,true,197,0,0,0,0,161,false,""
EAP_STAFF_EMERGENCY_ROLES,"Staff Emergency Roles",EAP,"Emergency Action Planning",true,false,false,true,true,false,false,false,false,true,185,0,0,0,0,123,false,""
EMR_BUSINESS_CONTINUITY,"Business Continuity",EMR,"Emergency Management & Resilience",true,true,true,true,true,true,true,true,true,true,136,2,2,2,2,139,true,""
EMR_CRISIS_MANAGEMENT,"Crisis Management",EMR,"Emergency Management & Resilience",true,true,true,true,true,true,true,true,true,true,142,2,2,2,2,160,true,""
EMR_EMERGENCY_COMMUNICATIONS,"Emergency Communications",EMR,"Emergency Management & Resilience",true,false,false,true,true,false,false,false,false,true,197,0,0,0,0,131,false,""
EMR_ICS_NIMS_INTEGRATION,"ICS/NIMS Integration",EMR,"Emergency Management & Resilience",true,true,true,true,true,true,true,true,true,true,157,2,2,2,2,102,true,""
EMR_MASS_NOTIFICATION,"Mass Notification",EMR,"Emergency Management & Resilience",true,false,false,true,true,false,false,false,false,true,200,0,0,0,0,157,false,""
EMR_REDUNDANCY_BACKUP_SYSTEMS,"Redundancy / Backup Systems",EMR,"Emergency Management & Resilience",true,false,false,true,true,false,false,false,false,true,175,0,0,0,0,128,false,""
EMR_RESILIENCE_PLANNING,"Resilience Planning",EMR,"Emergency Management & Resilience",true,true,true,true,true,true,true,true,true,true,168,2,2,2,2,141,true,""
FAC_BALLISTIC_BARRIERS,"Ballistic Barriers",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,218,0,0,0,0,125,false,""
FAC_BLAST_MITIGATION,"Blast Mitigation",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,213,0,0,0,0,203,false,""
FAC_EXTERIOR_WALL_REINFORCEMENT,"Exterior Wall Reinforcement",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,245,0,0,0,0,184,false,""
FAC_IMPACT_RESISTANT_GLAZING,"Impact-Resistant Glazing",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,224,0,0,0,0,106,false,""
FAC_STRUCTURAL_HARDENING,"Structural Hardening",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,224,0,0,0,0,128,false,""
FAC_WINDOW_FILM,"Window Film",FAC,"Facility Hardening",true,false,false,true,true,false,false,false,false,true,231,0,0,0,0,109,false,""
IDS_ALARM_MONITORING,"Alarm Monitoring",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,197,0,0,0,0,161,false,""
IDS_ALARM_PANELS,"Alarm Panels",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,227,0,0,0,0,192,false,""
IDS_DOOR_CONTACTS,"Door Contacts",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,177,0,0,0,0,273,false,""
IDS_GLASS_BREAK_SENSORS,"Glass Break Sensors",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,164,0,0,0,0,168,false,""
IDS_MOTION_DETECTORS,"Motion Detectors",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,165,0,0,0,0,130,false,""
IDS_PANIC_DURESS_BUTTONS,"Panic / Duress Buttons",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,248,0,0,0,0,170,false,""
IDS_PERIMETER_IDS,"Perimeter IDS",IDS,"Intrusion Detection Systems",true,false,false,true,true,false,false,false,false,true,272,0,0,0,0,156,false,""
INT_ACCESS_RESTRICTED_AREAS,"Access-Restricted Areas",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,209,0,0,0,0,128,false,""
INT_HARD_INTERIOR_BARRIERS,"Hard-Interior Barriers",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,252,0,0,0,0,132,false,""
INT_INTERIOR_DOORS,"Interior Doors",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,184,0,0,0,0,137,false,""
INT_INTERIOR_LIGHTING,"Interior Lighting",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,221,0,0,0,0,129,false,""
INT_SAFE_ROOMS,"Safe Rooms",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,202,0,0,0,0,154,false,""
INT_SECURE_ROOMS,"Secure Rooms",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,154,0,0,0,0,140,false,""
INT_SENSITIVE_ITEM_STORAGE,"Sensitive Item Storage",INT,"Interior Security & Barriers",true,false,false,true,true,false,false,false,false,true,226,0,0,0,0,175,false,""
ISC_COORDINATION_PROTOCOLS,"Coordination Protocols",ISC,"Information Sharing & Coordination",true,true,true,true,true,true,true,true,true,true,163,2,2,2,2,173,true,""
ISC_EXTERNAL_REPORTING,"External Reporting",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,261,0,0,0,0,156,false,""
ISC_FUSION_CENTER_INTERFACE,"Fusion Center Interface",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,206,0,0,0,0,137,false,""
ISC_ISAC_ISAOS,"ISAC / ISAOs",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,260,0,0,0,0,159,false,""
ISC_JTTF_ENGAGEMENT,"JTTF Engagement",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,279,0,0,0,0,232,false,""
ISC_LAW_ENFORCEMENT_LIAISON,"Law Enforcement Liaison",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,219,0,0,0,0,201,false,""
ISC_THREAT_INFORMATION_SHARING,"Threat Information Sharing",ISC,"Information Sharing & Coordination",true,false,false,true,true,false,false,false,false,true,213,0,0,0,0,121,false,""
KEY_KEY_CABINETS,"Key Cabinets",KEY,"Key Control",true,false,false,true,true,false,false,false,false,true,207,0,0,0,0,114,false,""
KEY_KEY_LOGS_ACCOUNTABILITY,"Key Logs / Accountability",KEY,"Key Control",true,false,false,true,true,false,false,false,false,true,195,0,0,0,0,114,false,""
KEY_MASTER_KEY_MANAGEMENT,"Master Key Management",KEY,"Key Control",true,true,true,true,true,true,true,true,true,true,148,2,2,2,2,128,true,""
KEY_REKEYING_PROCEDURES,"Rekeying Procedures",KEY,"Key Control",true,true,true,true,true,true,true,true,true,true,142,2,2,2,2,138,true,""
KEY_RESTRICTED_KEYS,"Restricted Keys",KEY,"Key Control",true,false,false,true,true,false,false,false,false,true,175,0,0,0,0,152,false,""
PER_BOLLARDS_BARRIERS,"Bollards / Barriers",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,172,0,0,0,0,74,false,""
PER_BOUNDARY_DEMARCATION,"Boundary Demarcation",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,233,0,0,0,0,160,false,""
PER_CLEAR_ZONES,"Clear Zones",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,190,0,0,0,0,102,false,""
PER_FENCING,"Fencing",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,192,0,0,0,0,257,false,""
PER_GATES,"Gates",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,238,0,0,0,0,89,false,""
PER_PEDESTRIAN_ACCESS_CONTROL_POINTS,"Pedestrian Access Control Points",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,238,0,0,0,0,142,false,""
PER_PERIMETER_LIGHTING,"Perimeter Lighting",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,175,0,0,0,0,125,false,""
PER_PERIMETER_SIGNAGE,"Perimeter Signage",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,190,0,0,0,0,146,false,""
PER_VEHICLE_ACCESS_CONTROL_POINTS,"Vehicle Access Control Points",PER,"Perimeter Security",true,false,false,true,true,false,false,false,false,true,181,0,0,0,0,105,false,""
SFO_GUARD_POSTS,"Guard Posts",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,234,0,0,0,0,184,false,""
SFO_INCIDENT_REPORTING,"Incident Reporting",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,202,0,0,0,0,165,false,""
SFO_PATROL_ROUTES,"Patrol Routes",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,234,0,0,0,0,148,false,""
SFO_RADIO_COMMUNICATIONS,"Radio Communications",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,130,0,0,0,0,99,false,""
SFO_RESPONSE_PROCEDURES,"Response Procedures",SFO,"Security Force / Operations",true,true,true,true,true,true,true,true,true,true,165,2,2,2,2,142,true,""
SFO_SCHOOL_RESOURCE_OFFICER_SRO,"School Resource Officer (SRO)",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,187,0,0,0,0,143,false,""
SFO_SECURITY_OFFICER_TRAINING,"Security Officer Training",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,207,0,0,0,0,160,false,""
SFO_SECURITY_OPERATIONS_CENTER_SOC,"Security Operations Center (SOC)",SFO,"Security Force / Operations",true,false,false,true,true,false,false,false,false,true,218,0,0,0,0,183,false,""
SMG_GOVERNANCE_OVERSIGHT,"Governance & Oversight",SMG,"Security Management & Governance",true,true,true,true,true,true,true,true,true,true,153,2,2,2,2,169,true,""
SMG_POLICY_COMPLIANCE_TRACKING,"Policy Compliance Tracking",SMG,"Security Management & Governance",true,true,true,true,true,true,true,true,true,true,164,2,2,2,2,102,true,""
SMG_RISK_ASSESSMENT_RISK_MANAGEMENT,"Risk Assessment / Risk Management",SMG,"Security Management & Governance",true,true,true,true,true,true,true,true,true,true,159,2,2,2,2,153,true,""
SMG_SECURITY_DOCUMENTATION,"Security Documentation",SMG,"Security Management & Governance",true,true,true,true,true,true,true,true,true,true,168,2,2,2,2,154,true,""
SMG_SECURITY_POLICIES,"Security Policies",SMG,"Security Management & Governance",true,false,false,true,true,false,false,false,false,true,187,0,0,0,0,159,false,""
SMG_SECURITY_PROCEDURES,"Security Procedures",SMG,"Security Management & Governance",true,true,true,true,true,true,true,true,true,true,151,2,2,2,2,175,true,""
SMG_SECURITY_TRAINING_PROGRAMS,"Security Training Programs",SMG,"Security Management & Governance",true,false,false,true,true,false,false,false,false,true,222,0,0,0,0,184,false,""
VSS_ANALYTICS_BEHAVIOR_DETECTION,"Analytics / Behavior Detection",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,263,0,0,0,0,111,false,""
VSS_CAMERA_COVERAGE_LINE_OF_SIGHT,"Camera Coverage / Line of Sight",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,168,0,0,0,0,114,false,""
VSS_EXTERIOR_CAMERAS,"Exterior Cameras",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,228,0,0,0,0,117,false,""
VSS_FIXED_CAMERAS,"Fixed Cameras",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,184,0,0,0,0,128,false,""
VSS_INTERIOR_CAMERAS,"Interior Cameras",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,219,0,0,0,0,196,false,""
VSS_IP_CAMERAS,"IP Cameras",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,201,0,0,0,0,260,false,""
VSS_MONITORING_WORKSTATIONS,"Monitoring / Workstations",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,195,0,0,0,0,130,false,""
VSS_PTZ_CAMERAS,"PTZ Cameras",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,165,0,0,0,0,108,false,""
VSS_RECORDING_STORAGE_NVR_DVR,"Recording / Storage (NVR/DVR)",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,199,0,0,0,0,172,false,""
VSS_SYSTEM_ARCHITECTURE,"System Architecture",VSS,"Video Surveillance Systems",true,true,true,true,true,true,true,true,true,true,187,2,2,2,2,173,true,""
VSS_VIDEO_WALL_DISPLAY_SYSTEMS,"Video Wall / Display Systems",VSS,"Video Surveillance Systems",true,false,false,true,true,false,false,false,false,true,230,0,0,0,0,128,false,""
